Institution,State,Historically_Black,Predominantly_Black,Alask_Nat_Nat_Hawaiian_Serving,Tribal,Asian_American_Pacific_Islander_Serving,Hispanic_Serving,Native_American_Nontribal,Men_only,Women_only,Acceptance_rate,Average_SAT,Average_Cost_Of_Attendance,Avg_Net_Price_Pub_0_To_30000_Income,Avg_Net_Price_Pub_30000_To_48000_Income,Avg_Net_Price_Pub_48001_To_75000_Income,Avg_Net_Price_Pub_75001_To_110000_Income,Avg_Net_Price_Pub_110001_To_Inf_Income,Avg_Net_Price_Priv_0_To_30000_Income,Avg_Net_Price_Priv_30000_To_48000_Income,Avg_Net_Price_Priv_48001_To_75000_Income,Avg_Net_Price_Priv_75001_To_110000_Income,Avg_Net_Price_Priv_110001_To_Inf_Income,Perc_Undergrad_White,Perc_Undergrad_Black,Perc_Undergrad_Hispanic,Perc_Undergrad_Asian,Perc_Undergrad_Am_Indian_Alask_Native,Perc_Native_Hawaiin_Pac_Islander,Perc_Two_Or_More_Races,Perc_Receiving_Loan,Med_Loan_Debt,Inst_Loan_Debt,Socioeconomic_Div,White_Compl_Rate,Black_Compl_Rate,Hisp_Compl_Rate,Asian_Compl_Rate,Asian_Am_Pac_Islander_Compl_Rate,Native_Am_Pac_Islander_Compl_Rate,Two_Or_More_Races_Compl_Rate,Med_earnings
University of California-Los Angeles,CA,0,0,0,0,1,0,0,0,0,0.0857,NA,35689,8849,10440,13335,19395,30301,NA,NA,NA,NA,NA,0.2573,0.0334,0.2219,0.2949,0.0019,0.0017,0.0707,0.2059,12983,25000,0.2718,0.9319,0.8416,0.8979,0.9545,0.8095,0.8,0.9328,73200
University of California-Riverside,CA,0,0,0,0,1,1,0,0,0,0.6869,NA,34100,9169,10190,13271,19019,29379,NA,NA,NA,NA,NA,0.1087,0.032,0.39,0.3673,7e-4,0.0019,0.0477,0.332,14944,17538,0.4951,0.7456,0.7167,0.7387,0.828,0.6667,0.75,0.6899,55300
University of California-San Diego,CA,0,0,0,0,1,0,0,0,0,0.2371,NA,35274,9055,10263,13639,20297,30300,NA,NA,NA,NA,NA,0.1858,0.0165,0.2374,0.3391,8e-4,0.001,0.0601,0.2405,14778,23744,0.3194,0.8816,0.7442,0.8215,0.9213,0.4286,0.9231,0.8716,69600
University of California-Santa Barbara,CA,0,0,0,0,1,1,0,0,0,0.2585,NA,36607,8839,10859,13464,18987,31659,NA,NA,NA,NA,NA,0.3122,0.0187,0.2513,0.1865,0.0011,0.001,0.0867,0.1846,11875,23232,0.3015,0.883,0.8072,0.8138,0.8968,0.8571,0.85,0.8257,62400
University of California-Santa Cruz,CA,0,0,0,0,1,1,0,0,0,0.4692,NA,37707,10344,11034,14732,22359,32929,NA,NA,NA,NA,NA,0.318,0.0186,0.2806,0.2321,0.001,0.0015,0.0828,0.2813,14334,27522,0.3203,0.7691,0.7037,0.7507,0.7931,0.8333,0.8,0.7818,53800
California State University Maritime Academy,CA,0,0,0,0,0,0,0,0,0,0.955,NA,27186,11717,18405,11566,19847,26154,NA,NA,NA,NA,NA,0.4839,0.0272,0.224,0.1089,0.0074,0.0087,0.1015,0.4136,16889,25643,0.2841,0.7386,0.25,0.5968,0.6522,1,0.6,0.5,87800
Concordia University-Irvine,CA,0,0,0,0,1,1,0,0,0,0.6899,NA,54221,NA,NA,NA,NA,NA,22680,22987,25934,28074,34097,0.4175,0.0373,0.2543,0.0952,0.0012,0.0053,0.0668,0.5896,19000,34800,0.2587,0.7074,0.5238,0.5929,0.5385,0,0,0.7391,50800
Dominican University of California,CA,0,0,0,0,1,1,0,0,0,0.9318,1192,67130,NA,NA,NA,NA,NA,44440,45087,44771,48465,53080,0.2529,0.0518,0.2792,0.3143,0.0026,0.0044,0.0588,0.5052,24250,54475,0.288,0.7079,0.9,0.7667,0.9434,1,0.5,0.6842,63600
FIDM-Fashion Institute of Design & Merchandising,CA,0,0,0,0,0,0,0,0,0,0.4171,NA,54330,NA,NA,NA,NA,NA,39297,39041,41150,45431,46247,0.2949,0.0837,0.2646,0.1157,0.0112,0.0096,0.0022,0.493,12000,43418,0.3132,0.775,0.7895,0.7391,0.9048,1,0.25,0.5,42400
California State Polytechnic University-Humboldt,CA,0,0,0,0,0,1,0,0,0,0.9818,NA,24202,8624,9775,14276,18742,22539,NA,NA,NA,NA,NA,0.5025,0.0303,0.30620000000000003,0.027,0.0169,0.003,0.0664,0.3668,14500,17589,0.4889,0.5141,0.3725,0.3963,0.4516,0.2727,0,0.54,40100
